title
"Wall Hours: Per Job: by Queue"
parameters

start,end
2016-12-22,2017-01-01
---------
Queue,"Wall Hours: Per Job","Std Dev: Wall Hours: Per Job"
barm,69.24910000,0
pikelet,52.33125283,0
brioche,51.98147500,0
roti,42.75255556,6.325264219699848
pita,20.86395000,0
focaccia,19.91282308,17.10663744555163
cornbread,17.78094000,5.295754579010347
pumpernickel,8.31937500,4.627752624288676
white,7.29609410,0.10650585117544553
chapti,5.97787500,3.288008036902684
crumpet,4.27457941,2.9102802867140025
bannock,3.86877778,1.1629123856063905
panettone,3.27558000,3.086809013270491
brown,2.25963043,0.4522314699576676
croutons,1.96723462,0.2933968740624883
nann,1.15487380,0.018003583430271065
black,0.27209252,0.005264524236997922
potbrood,0.24737647,0.027252557659213007
---------
